task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
22	7f/826f18	9376	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRX17852076)	COMPLETED	0	2024-05-22 10:24:46.858	3.3s	2s	101.6%	7.8 MB	211.2 MB	30.4 MB	141.8 KB
20	bf/ac1e58	10414	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRX17852076)	COMPLETED	0	2024-05-22 10:24:48.848	1.5s	1s	38.8%	3.4 MB	10.8 MB	849 KB	5 KB
23	0a/e2b025	10577	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_GENOME	COMPLETED	0	2024-05-22 10:24:49.372	6.9s	5s	108.0%	317 MB	2.3 GB	24.8 MB	28.7 KB
17	1c/a51a42	9375	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SRX17852076)	COMPLETED	0	2024-05-22 10:24:46.850	12.8s	12s	188.0%	1.4 GB	10.5 GB	82.7 MB	885.1 KB
15	5d/e5efa1	9034	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRX17852076)	COMPLETED	0	2024-05-22 10:24:45.268	16s	16s	162.9%	150.1 MB	222.5 MB	213 MB	175.2 MB
24	af/babe76	12204	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_AMPLICON	COMPLETED	0	2024-05-22 10:24:56.246	7s	6s	111.9%	316.3 MB	2.3 GB	24.7 MB	39.1 KB
25	0f/455a90	13290	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SRX17852076)	COMPLETED	0	2024-05-22 10:25:01.312	2.8s	2s	129.9%	44.5 MB	1.9 GB	31.7 MB	8.9 KB
26	5d/fb375f	42829445	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (SRX17852076)	COMPLETED	0	2024-05-22 10:25:04.338	5.2s	1s	182.9%	3.5 MB	12.3 MB	1.2 MB	8 KB
28	7f/ca595d	13606	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (SRX17852076)	COMPLETED	0	2024-05-22 10:25:09.608	768ms	0ms	62.7%	5.4 MB	12.2 MB	990.3 KB	3.1 KB
29	75/03df35	13916	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (SRX17852076)	COMPLETED	0	2024-05-22 10:25:10.424	863ms	1s	244.8%	3.9 MB	14.5 MB	1.2 MB	3.1 KB
30	ef/707ef2	13915	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (SRX17852076)	COMPLETED	0	2024-05-22 10:25:10.413	2.1s	0ms	212.7%	3 MB	5.4 MB	1.2 MB	3.8 KB
27	ca/fe13f3	13607	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (SRX17852076)	COMPLETED	0	2024-05-22 10:25:09.619	5.5s	4s	96.1%	161.2 MB	39.2 GB	43.1 MB	280.9 KB
31	a2/5d343e	14793	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SRX17852076)	COMPLETED	0	2024-05-22 10:25:15.189	1s	0ms	35.9%	5.6 MB	12.1 MB	1.7 MB	8.5 KB
33	d2/6fbe3d	14955	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SRX17852076)	COMPLETED	0	2024-05-22 10:25:16.232	774ms	0ms	66.4%	4.5 MB	10.5 MB	994.3 KB	3.2 KB
34	9c/ef3a08	15263	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SRX17852076)	COMPLETED	0	2024-05-22 10:25:17.043	891ms	0ms	278.8%	3.8 MB	14.3 MB	1.2 MB	3.9 KB
32	ad/6d7606	14956	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SRX17852076)	COMPLETED	0	2024-05-22 10:25:16.252	2.3s	2s	122.1%	63.7 MB	39 GB	39.6 MB	39.1 KB
35	cd/dd4d27	15599	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:MAKE_VARIANTS_LONG_TABLE	COMPLETED	0	2024-05-22 10:25:18.640	3.4s	2s	126.0%	73.6 MB	1.9 GB	34.5 MB	7.2 KB
36	fa/73c9cc	15901	NFCORE_VIRALRECON:ILLUMINA:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2024-05-22 10:25:22.599	1.5s	724ms	82.4%	752 KB	6.9 MB	32.7 MB	6.9 KB
